OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
100200,Alabama A & M University,Normal,AL,South,15.25,12.1,Graduate,Public,Small City,Yes,89.65,959,No,5090,15.529,23.445,8.101,4.836,7.599,70.95,75.04,28.66,36.5828092,23.553,36.339
105200,University of Alabama at Birmingham,Birmingham,AL,South,15.085,4.8,Graduate,Public,Small City,No,80.6,1245,No,13549,16.53,25.542,11.986,14.691,11.38,33.97,46.88,61.17,34.1223671,34.489,46.99
2503400,Amridge University,Montgomery,AL,South,10.984,12.9,Graduate,Private nonprofit,Small City,No,NA,NA,Yes,298,17.618,20.1,13.89,3.664,4.545,74.52,84.93,25,51.25,15.0335,37.895
105500,University of Alabama in Huntsville,Huntsville,AL,South,14,4.7,Graduate,Public,Small City,No,77.11,1300,No,7825,17.208,24.861,8.279,8.32,9.697,24.03,38.55,57.14,31.0132159,44.787,54.361
100500,Alabama State University,Montgomery,AL,South,17.5,12.8,Graduate,Public,Small City,Yes,98.88,938,No,3603,19.534,21.892,9.302,9.579,7.194,73.68,78.05,31.77,34.3434343,22.0805,32.084
105100,The University of Alabama,Tuscaloosa,AL,South,17.671,4,Graduate,Public,Small City,No,80.39,1262,No,30610,20.917,30.016,14.705,9.65,10.349,17.18,36.44,72.14,22.5712689,66.7335,52.751
100700,Central Alabama Community College,Alexander City,AL,South,6.5,14.8,Associates,Public,Town,No,NA,NA,No,994,3.269,9.437,2.259,6.054,6.581,38.19,12.9,19.2,54.9676026,22.217,32.503
831000,Auburn University at Montgomery,Montgomery,AL,South,12,8.2,Graduate,Public,Small City,No,95.55,1061,No,4301,13.678,20.225,7.995,6.289,7.729,46.54,53.55,30.4,38.189609,29.6715,41.679
100900,Auburn University,Auburn,AL,South,17.5,2.6,Graduate,Public,Small City,No,85.07,1302,No,24368,24.018,32.196,16.865,8.361,10.722,13.43,29.8,78.7,17.2647119,72.031,56.933
101200,Birmingham-Southern College,Birmingham,AL,South,16,4.4,Bachelors,Private nonprofit,Small City,No,60.45,1202,No,1129,19.808,32.514,8.672,11.481,6.961,22.58,46.15,70.94,17.2494173,68.0945,50.775
1218200,Chattahoochee Valley Community College,Phenix City,AL,South,6.543,9.6,Associates,Public,Rural,No,NA,NA,No,1183,2.652,10.275,2.072,4.797,6.432,50.88,17.15,22.46,43.0267062,20.813,31.254
1303906,South University-Montgomery,Montgomery,AL,South,13.516,11,Graduate,Prviate for-profit,Small City,No,NA,NA,No,289,20.518,28.761,12.62,6.355,4.93,59.36,67.73,14.29,47.2288337,20,36.71
101500,Enterprise State Community College,Enterprise,AL,South,5.928,16.1,Associates,Public,Town,No,NA,NA,No,1304,4.142,9.561,2.514,5.043,6.662,42.07,13.3,25.82,42.1891605,20.456,37.26
106000,Coastal Alabama Community College,Bay Minette,AL,South,5.5,12.6,Associates,Public,Town,No,NA,NA,No,4680,8.924,14.915,2.521,3.773,7.023,34,20.86,18.87,43.511965,24.15,32.139
100300,Faulkner University,Montgomery,AL,South,14.25,9.9,Graduate,Private nonprofit,Small City,No,75.76,1068,No,1834,20.5,34.835,10.81,5.917,5.926,50.09,63.84,27.11,43.0031949,24.0375,39.437
