OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
100200,Alabama A & M University,Normal,AL,South,15.25,12.1,Graduate,Public,Small City,Yes,89.65,959,No,5090,15.529,23.445,8.101,4.836,7.599,70.95,75.04,28.66,36.5828092,23.553,36.339
105200,University of Alabama at Birmingham,Birmingham,AL,South,15.085,4.8,Graduate,Public,Small City,No,80.6,1245,No,13549,16.53,25.542,11.986,14.691,11.38,33.97,46.88,61.17,34.1223671,34.489,46.99
105500,University of Alabama in Huntsville,Huntsville,AL,South,14,4.7,Graduate,Public,Small City,No,77.11,1300,No,7825,17.208,24.861,8.279,8.32,9.697,24.03,38.55,57.14,31.0132159,44.787,54.361
100500,Alabama State University,Montgomery,AL,South,17.5,12.8,Graduate,Public,Small City,Yes,98.88,938,No,3603,19.534,21.892,9.302,9.579,7.194,73.68,78.05,31.77,34.3434343,22.0805,32.084
105100,The University of Alabama,Tuscaloosa,AL,South,17.671,4,Graduate,Public,Small City,No,80.39,1262,No,30610,20.917,30.016,14.705,9.65,10.349,17.18,36.44,72.14,22.5712689,66.7335,52.751
831000,Auburn University at Montgomery,Montgomery,AL,South,12,8.2,Graduate,Public,Small City,No,95.55,1061,No,4301,13.678,20.225,7.995,6.289,7.729,46.54,53.55,30.4,38.189609,29.6715,41.679
100900,Auburn University,Auburn,AL,South,17.5,2.6,Graduate,Public,Small City,No,85.07,1302,No,24368,24.018,32.196,16.865,8.361,10.722,13.43,29.8,78.7,17.2647119,72.031,56.933
101200,Birmingham-Southern College,Birmingham,AL,South,16,4.4,Bachelors,Private nonprofit,Small City,No,60.45,1202,No,1129,19.808,32.514,8.672,11.481,6.961,22.58,46.15,70.94,17.2494173,68.0945,50.775
100300,Faulkner University,Montgomery,AL,South,14.25,9.9,Graduate,Private nonprofit,Small City,No,75.76,1068,No,1834,20.5,34.835,10.81,5.917,5.926,50.09,63.84,27.11,43.0031949,24.0375,39.437
101900,Huntingdon College,Montgomery,AL,South,17.5,10,Bachelors,Private nonprofit,Small City,No,54.39,1101,No,917,21.632,37.483,12.717,6.497,6.886,40.77,72.52,41.85,34.56,37.577,45.389
102000,Jacksonville State University,Jacksonville,AL,South,15,6.3,Graduate,Public,Suburb,No,63.69,1084,No,6776,17.523,21.56,7.278,7.183,7.326,40.03,66.96,45.51,36.377025,35.734,39.354
102400,University of West Alabama,Livingston,AL,South,12.5,5.8,Graduate,Public,Rural,No,93.13,1035,No,2247,16.747,22.645,8.285,6.686,6.551,53.46,67.35,40.11,40.3210576,25.5525,35.767
100400,University of Montevallo,Montevallo,AL,South,15.815,5.4,Graduate,Public,Suburb,No,60.52,1131,No,2186,18.584,26.018,9.089,13.809,7.623,39.18,55.37,54.15,32.5237592,43.813,38.378
103600,Samford University,Birmingham,AL,South,15.857,2,Graduate,Private nonprofit,Suburb,No,83.99,1219,No,3573,30.072,49.634,20.062,15.372,9.007,11.45,30.8,77.2,13.8055222,87.745,53.223
105700,University of South Alabama,Mobile,AL,South,17.25,6.3,Graduate,Public,Small City,No,73.03,1162,No,8787,16.826,21.694,9.146,9.509,7.507,38.93,54.89,44.91,33.4257975,36.199,43.123
